"ID","A1B1","A1B2","A1B3","A2B1","A2B2","A2B3","A3B1","A3B2","A3B3","A3B4","A3B5","A3B6","A4B1","A4B2","A5B1","A5B2","A5B3","A6B1","A6B2","A7B1","A7B2","A7B3","A7B4","A8B1","A8B2","A8B3","A8B4","NONE"
66,-3.35558211819027,0.59351448086533,2.76206763732494,1.34574643535317,-1.2813048660652,-0.0644415692879685,-0.54888145852781,-0.834467751541809,-0.152747229575125,-0.063951412304561,0.474862068938654,1.12518578301065,-0.962907154588363,0.962907154588363,-1.84286006290997,0.500532843787072,1.34232721912289,-0.791293895732736,0.791293895732736,-0.950308270636553,-0.071231732810591,0.48096969790609,0.540570305541053,-1.25533814000858,0.829283473132132,0.60336616802663,-0.177311501150183,-0.946267353496488
77,-2.54675470148393,1.62798260617425,0.918772095309675,0.455508629208007,-0.641560565551029,0.186051936343023,-0.841930909071342,-0.548177710356134,-1.03792372733169,-0.670756935372476,0.569202215250037,2.52958706688161,-0.236368734143908,0.236368734143908,-2.4754412555731,1.49692431762035,0.978516937952753,-0.540283069937816,0.540283069937816,-1.02915757649827,0.729783093909889,0.109977864014643,0.189396618573742,0.394755890439659,2.06876450981015,-0.399471660226376,-2.06404874002343,-1.82336959698839
280,-2.82429824823459,0.42436072405058,2.39993752418401,-0.0399315385646879,-1.22696132438236,1.26689286294705,-0.260965836277736,-0.694496659361156,1.51291666775938,-0.318572102947225,0.859395119626698,-1.09827718879996,-0.42184270529553,0.42184270529553,-2.16754869859389,2.20473787110515,-0.037189172511257,1.16542926889263,-1.16542926889263,-1.39008966475218,0.628101254405056,-0.204187969250465,0.966176379597585,2.02730238964124,1.57948683400384,-0.0223377725222089,-3.58445145112287,1.1673138031033
221,-2.05950322271491,1.1147941706661,0.944709052048805,-1.7598018097672,-0.447093159126967,2.20689496889416,-1.12083518296932,0.00846776482379667,0.230743226508985,1.3590760228482,0.499917224093182,-0.977369055304842,-1.36133036262396,1.36133036262396,-1.62798987479788,0.935060136037872,0.692929738760007,-0.10119565251447,0.10119565251447,-0.347017426829259,0.14088494965876,0.110987203536733,0.0951452736337664,-1.282256662879,0.0338760078892144,0.588266614083106,0.66011404090668,1.58691932164577
293,-1.4725091800714,1.4757837372749,-0.00327455720349534,-0.949454113688595,-1.02490458288773,1.97435869657632,0.345074149232219,0.577700881214159,1.75334317009917,-0.716149893540943,-0.263182313909989,-1.69678599309461,-0.350754582625248,0.350754582625248,-1.20551294788801,0.0229389456150398,1.18257400227297,1.3976850470869,-1.3976850470869,-0.0220376022600283,0.244712118469414,-0.340969938139386,0.11829542193,2.1995833642206,2.49726570752888,-0.76758886659281,-3.92926020515667,1.39424949988995
150,-2.76017550089665,2.6580837247853,0.10209177611135,-0.403715421128297,-0.552015825709028,0.955731246837325,-1.50447543573108,0.402561097394223,-0.169570854936814,-0.474809957073856,1.04010774590885,0.706187404438681,0.233149626846125,-0.233149626846125,-3.01725120382209,0.361990463484149,2.65526074033794,-0.59529061386329,0.59529061386329,-0.907416312494278,0.521121651807143,0.0594716880023589,0.326822972684776,0.103061564383111,0.947018446155244,0.524324550171602,-1.57440456070996,-0.716976706518983
50,-2.81951324427261,1.96134274615469,0.858170498117918,-0.63473100337876,-0.920826755745823,1.55555775912458,-2.13791525187229,-0.746350092003823,0.239785189796511,0.908753718859754,0.32639364548563,1.40933278973421,-0.765554758852792,0.765554758852792,-2.67872058542235,1.17341788810101,1.50530269732134,0.243775138260867,-0.243775138260867,-0.797953759916759,-0.242501150934662,-0.166998781814256,1.20745369266568,-1.93577560603011,0.797878937978409,1.29469422355322,-0.156797555501525,-2.33500401125117
65,-2.06001975415912,1.90366373631421,0.156356017844904,-0.824645629040615,0.159462427712102,0.665183201328513,-1.43968362733382,0.776608658589965,0.12637707607496,-1.08865945839501,1.71013880587012,-0.0847814548062138,-0.163585762852315,0.163585762852315,-0.452983068519873,0.537696360242237,-0.084713291722364,-0.980758599872878,0.980758599872878,-1.10372725151394,-0.305954942713887,1.24477591298902,0.164906281238802,1.35112144199721,1.67733359937265,-0.523403668980031,-2.50505137238983,1.25975794367415
299,-2.01130174115257,-0.00895134030667973,2.02025308145925,-0.673176065898215,-0.26793338026681,0.941109446165025,-0.482512409422304,-0.382512898118465,-0.041318507882268,0.0479294316327917,0.386667281950878,0.471747101839367,0.362131641821986,-0.362131641821986,-1.99001304926613,-0.443404885267376,2.43341793453351,0.756692522134914,-0.756692522134914,-0.301736247271737,-0.0924816498285746,-0.228714187070776,0.622932084171088,-0.54015321523326,0.142889512439077,0.9375967049965,-0.540333002202317,3.78525359760322
234,0.664315584244989,0.341992962107526,-1.00630854635251,-0.854807036285804,0.49530380564521,0.359503230640594,0.574655425641712,0.298259862775917,1.62189833923494,-1.5923333048692,0.981287830712733,-1.8837681534961,-0.182137944360835,0.182137944360835,-1.48887145287557,1.37811004192766,0.110761410947912,0.988130202829535,-0.988130202829535,-1.38428184691111,0.193977773612968,0.491000184451768,0.699303888846372,5.09198045926973,0.937812921183924,-1.13116749865645,-4.89862588179721,4.7202144117975
