"Body_L","Body_M","Body_H","Chng_N","Chng_M","Chng_A","Anno_0","Anno_1","Anno_2","Anno_3","Anno_4","Anno_5","Optn_N","Optn_Y","Zoom_0","Zoom_2","Zoom_4","View_R","View_L","Set_N","Set_L","Set_V","Set_B","Prce_1","Prce_2","Prce_3","Prce_4","None"
-3.35850932789435,0.596570238390181,2.76193908950417,1.3436743164681,-1.27788348351615,-0.0657908329519483,-0.547215870725533,-0.836601181528365,-0.151874951919885,-0.0638535786214536,0.476717285149598,1.12282829764564,-0.963762136488864,0.963762136488864,-1.84489006095888,0.503581185105648,1.34130887585323,-0.790342224962608,0.790342224962608,-0.9485095592214,-0.0704637709812154,0.480068176677109,0.538905153525506,-1.25147494000672,0.83094963362474,0.601074222152017,-0.180548915770041,-0.945577598860836
-2.54557398688245,1.62598381209702,0.919590174785431,0.458131942678436,-0.64111354859514,0.182981605916704,-0.841397378428911,-0.549158379119183,-1.03867025439987,-0.67059480448575,0.570197817899021,2.5296229985347,-0.237297073590193,0.237297073590193,-2.46917524747665,1.49379441749944,0.975380829977212,-0.54039413443653,0.54039413443653,-1.02344308732172,0.727898131622909,0.108826070242827,0.186718885455981,0.394870341174702,2.06547592138478,-0.399434656387314,-2.06091160617216,-1.82384549839357
-2.82276934313211,0.42358341972287,2.39918592340924,-0.0375461333955557,-1.22771008800828,1.26525622140383,-0.261853944878386,-0.692699423080463,1.51510686092969,-0.325152591714982,0.86249583823548,-1.09789673949134,-0.420664456435164,0.420664456435164,-2.16799439749724,2.20456791631536,-0.036573518818122,1.16634604376038,-1.16634604376038,-1.39135893216295,0.627101320262303,-0.203996705018081,0.968254316918723,2.03029016844103,1.57990311085457,-0.0225177116829603,-3.58767556761264,1.17112697608687
-2.06003101757906,1.11389752322807,0.946133494351,-1.75867265280602,-0.44580192308951,2.20447457589553,-1.11955698195783,0.00870342527951135,0.233004624158694,1.35176783746293,0.500942289690396,-0.974861194633704,-1.35918759870173,1.35918759870173,-1.62802736339345,0.93530139895442,0.692725964439029,-0.0996508287301168,0.0996508287301168,-0.346019872778037,0.141379419551327,0.108852402927653,0.0957880502990571,-1.2830548144755,0.0338884570709326,0.591401039464527,0.65776531794004,1.58659204174492
-1.47190423753968,1.47476548688935,-0.00286124934967491,-0.952203380482226,-1.02415371886383,1.97635709934606,0.34572275582571,0.576745791174239,1.75319509950241,-0.719205662777161,-0.262284652520544,-1.69417333120465,-0.351608316022443,0.351608316022443,-1.20183572921478,0.0225287726850824,1.1793069565297,1.39600723099017,-1.39600723099017,-0.0226457339417282,0.24303300099095,-0.338405756653156,0.118018489603934,2.19803472185041,2.49621350972004,-0.766790232627513,-3.92745799894294,1.39137003751736
-2.75992111621611,2.65678409270138,0.10313702351473,-0.40759984141178,-0.547104819651585,0.954704661063365,-1.50358899689356,0.400368706163524,-0.168371803437148,-0.475709665011391,1.03995159360358,0.707350165574988,0.232495979867374,-0.232495979867374,-3.01521153763931,0.363398796151776,2.65181274148754,-0.594138579632989,0.594138579632989,-0.903754990404391,0.521062238673982,0.0587941325850683,0.32389861914534,0.103164009944653,0.94784080159876,0.522558388716311,-1.57356320025973,-0.719436813437266
-2.8159356004486,1.95939947782184,0.856536122626759,-0.634112425349326,-0.920591712469976,1.5547041378193,-2.13431602048196,-0.748805519944846,0.241674020784388,0.909396836787419,0.322798318722107,1.4092523641329,-0.762895150472415,0.762895150472415,-2.67531466778661,1.17351245386111,1.5018022139255,0.24526309885952,-0.24526309885952,-0.795259261361276,-0.241628652231799,-0.170450726291052,1.20733863988413,-1.93309465141661,0.797608384015542,1.2954894042709,-0.160003136869831,-2.33462014096716
-2.05476034158616,1.90149881338116,0.153261528204996,-0.827406873889543,0.163247050629628,0.664159823259915,-1.441945789893,0.777219266592374,0.128839778662873,-1.09136951482621,1.71049029347131,-0.0832340340073414,-0.162982347195732,0.162982347195732,-0.452675169762582,0.536711380706319,-0.0840362109437375,-0.979018903461199,0.979018903461199,-1.10350800205473,-0.308595091824778,1.24515026342891,0.166952830450604,1.34758067420752,1.67664104514636,-0.520213182071859,-2.50400853728203,1.25805107312364
-2.01133155906115,-0.00839056510223592,2.01972212416339,-0.671101266373584,-0.267298557426709,0.938399823800294,-0.479613760365638,-0.383235052216171,-0.0425091733790345,0.0470814218799072,0.386372527081815,0.471904036999121,0.364255801347712,-0.364255801347712,-1.99129866207004,-0.442686313573618,2.43398497564366,0.755255476353557,-0.755255476353557,-0.300506413703314,-0.0929852443166456,-0.227594228384092,0.621085886404051,-0.543579890849963,0.139411842236204,0.941484261188647,-0.537316212574887,3.78359160586956
0.661325766993261,0.342205126675092,-1.00353089366835,-0.855570064005208,0.497348983219821,0.358221080785387,0.573339047829515,0.297475248491156,1.6231401049431,-1.59295567776604,0.980944777128675,-1.8819435006264,-0.184129845424485,0.184129845424485,-1.48822141271274,1.37769354167749,0.110527871035249,0.987902052574747,-0.987902052574747,-1.38258181454078,0.194500155552025,0.490465236952763,0.697616422035993,5.08892693746077,0.935323704909821,-1.12920868130901,-4.89504196106157,4.72166745856084
