"V1"
75
187
59
140
216
167
133
228
192
177
1
84
72
15
74
88
163
138
67
107
248
162
89
200
8
252
209
210
82
39
131
68
168
134
251
241
255
98
194
143
69
297
4
53
155
5
61
65
208
206
49
219
43
109
164
81
36
226
136
99
127
96
288
108
165
175
204
214
161
80
247
233
203
265
86
35
148
190
141
55
126
11
31
188
260
94
18
111
201
235
10
193
169
83
293
149
249
269
117
91
189
132
118
267
48
211
70
160
218
41
223
215
237
124
270
266
52
230
71
277
195
37
275
221
234
103
32
181
225
113
170
220
125
171
179
158
281
224
105
264
296
258
231
278
121
302
112
282
274
157
64
114
56
180
19
183
150
283
244
232
119
129
152
130
24
116
268
285
34
166
257
238
259
25
16
54
172
40
27
106
229
222
146
227
145
254
213
115
46
90
151
100
104
122
102
299
17
250
173
78
128
14
236
79
271
279
123
120
199
159
272
7
45
47
202
110
245
261
30
198
97
262
286
58
205
182
95
21
174
73
300
144
291
6
191
243
246
184
280
292
240
76
3
42
256
287
217
295
253
93
23
212
77
290
294
137
147
66
29
142
87
153
273
44
51
185
50
289
154
197
176
101
196
60
284
263
298
207
178
12
239
9
85
33
28
139
26
242
57
63
20
13
38
2
22
92
301
156
135
276
62
186
